Date,Price,Open,High,Low,Vol.,Change %
4/25/2022,54836,57485,57574,54836,353.22K,-6.90%
4/26/2022,55808,55631,55808,51128,81.08K,1.77%
4/27/2022,56249,55808,56426,53070,32.73K,0.79%
4/28/2022,56779,56514,57839,55190,43.49K,0.94%
4/29/2022,57220,58545,58545,55190,59.00K,0.78%
5/4/2022,56249,57220,57220,55808,16.87K,-1.70%
5/5/2022,57132,56249,57309,55631,265.90K,1.57%
5/6/2022,55808,54748,56691,53512,50.96K,-2.32%
5/9/2022,55190,55719,55719,53159,41.11K,-1.11%
5/10/2022,54218,51481,54306,51392,47.90K,-1.76%
5/11/2022,55013,53777,55013,52982,49.60K,1.47%
5/12/2022,52099,55631,55631,52099,37.37K,-5.30%
5/13/2022,50245,52099,52540,49450,59.23K,-3.56%
5/16/2022,47684,50245,52982,46801,36.69K,-5.10%
5/17/2022,50333,48567,50333,44417,275.75K,5.56%
5/18/2022,52099,51304,52099,50333,22.42K,3.51%
5/19/2022,49715,52011,52011,48478,211.77K,-4.58%
5/20/2022,51657,50156,51657,46624,96.83K,3.91%
5/23/2022,50774,51657,51657,48567,27.63K,-1.71%
5/24/2022,49273,48832,50245,47242,73.50K,-2.96%
5/25/2022,52099,47595,52099,47595,82.90K,5.74%
5/26/2022,52099,52099,52805,48478,278.47K,0.00%
5/27/2022,53688,52099,53777,51834,59.68K,3.05%
5/30/2022,53688,53865,54042,52982,364.31K,0.00%
5/31/2022,53159,53512,53600,51922,44.96K,-0.99%
6/1/2022,51481,53159,53159,51216,35.79K,-3.16%
6/2/2022,52011,51304,52099,49715,32.96K,1.03%
6/3/2022,53865,52011,53865,50421,90.03K,3.56%
6/6/2022,53335,53865,53953,52099,29.44K,-0.98%
6/7/2022,52982,52099,53335,51746,49.72K,-0.66%
6/8/2022,53688,52982,53688,52717,34.99K,1.33%
6/9/2022,53865,54130,54130,53247,21.40K,0.33%
6/10/2022,52894,53600,53777,52011,46.20K,-1.80%
6/13/2022,50774,51392,51392,49273,75.54K,-4.01%
6/14/2022,50421,51039,51039,49008,15.74K,-0.70%
6/15/2022,49450,49450,49803,47949,22.99K,-1.93%
6/16/2022,51392,52805,52805,49450,19.03K,3.93%
6/17/2022,50598,49538,50863,49361,20.72K,-1.54%
6/20/2022,48832,50598,50598,48743,9.51K,-3.49%
6/21/2022,48832,48920,50686,47949,37.82K,0.00%
6/22/2022,49273,48567,51216,48390,14.27K,0.90%
6/23/2022,48567,49185,49185,47684,34.09K,-1.43%
6/24/2022,51216,48567,51216,47949,29.56K,5.45%
6/27/2022,52894,50774,52982,50774,54.70K,3.28%
6/28/2022,52894,52982,52982,49891,41.34K,0.00%
6/29/2022,51922,52982,52982,51392,10.19K,-1.84%
6/30/2022,51657,52011,52011,49715,24.46K,-0.51%
7/1/2022,54748,51481,54748,48390,51.07K,5.98%
7/4/2022,51657,54571,54571,50951,45.41K,-5.65%
7/5/2022,51039,52011,52011,48743,18.80K,-1.20%
7/6/2022,50156,48214,50774,48125,17.10K,-1.73%
7/7/2022,50333,51216,51216,48567,22.88K,0.35%
7/8/2022,50333,50333,50333,49803,8.27K,0.00%
7/11/2022,50156,50333,50421,49097,35.79K,-0.35%
7/12/2022,51657,50156,51657,49097,15.63K,2.99%
7/13/2022,52452,52717,52717,50068,5.55K,1.54%
7/14/2022,52540,52452,52982,50245,20.38K,0.17%
7/15/2022,51834,51481,52011,49450,35.11K,-1.34%
7/18/2022,52099,52717,52717,49803,10.53K,0.51%
7/19/2022,51216,51657,51657,50068,25.93K,-1.69%
7/20/2022,52011,51216,52894,51216,26.50K,1.55%
7/21/2022,52099,51657,52099,50686,30.12K,0.17%
7/22/2022,50333,51216,51657,50333,4.76K,-3.39%
7/25/2022,52011,50333,52011,49980,14.95K,3.33%
7/26/2022,51746,50068,51746,50068,9.40K,-0.51%
7/27/2022,52452,51216,52540,51216,71.80K,1.36%
7/28/2022,51481,51392,52805,51392,20.05K,-1.85%
7/29/2022,52011,52011,52011,51657,5.44K,1.03%
8/1/2022,54483,52982,54483,52982,30.69K,4.75%
8/2/2022,54748,54748,54748,53512,21.29K,0.49%
8/3/2022,53865,52717,54660,52276,35.79K,-1.61%
8/4/2022,55366,52982,55631,52982,44.62K,2.79%
8/5/2022,55190,54306,55190,53159,49.94K,-0.32%
8/8/2022,55190,53865,55190,53865,32.05K,0.00%
8/9/2022,55631,55101,55631,54306,64.55K,0.80%
8/10/2022,54660,54836,55190,54660,45.98K,-1.75%
