Date,Price,Open,High,Low,Vol.,Change %
9/23/2021,22800,24000,24400,22300,410.76K,-5.00%
9/24/2021,21000,23200,23200,20500,566.05K,-7.89%
9/27/2021,18800,20300,20300,18700,475.05K,-10.48%
9/28/2021,19600,18900,19700,18200,212.20K,4.26%
9/29/2021,20200,19600,20200,19000,109.60K,3.06%
9/30/2021,20900,20200,21600,20200,245.33K,3.47%
10/1/2021,20400,21000,21000,20400,159.80K,-2.39%
10/4/2021,20500,20400,20700,19900,154.30K,0.49%
10/5/2021,21900,20300,22500,20300,414.12K,6.83%
10/6/2021,22000,21900,22200,21500,139.20K,0.46%
10/7/2021,21800,22000,22000,21100,106.10K,-0.91%
10/8/2021,21400,21500,21600,21100,161.55K,-1.83%
10/11/2021,21500,21300,21600,21300,113.60K,0.47%
10/12/2021,21400,21400,21600,21200,196.72K,-0.47%
10/13/2021,22500,21400,22700,21200,417.42K,5.14%
10/14/2021,23000,22500,23300,22500,300.56K,2.22%
10/15/2021,22700,23100,23400,22700,173.60K,-1.30%
10/18/2021,22800,22700,23100,22400,196.60K,0.44%
10/19/2021,22200,22500,22600,21900,191.23K,-2.63%
10/20/2021,21800,22000,22400,21500,205.91K,-1.80%
10/21/2021,21700,21900,21900,21400,117.00K,-0.46%
10/22/2021,22500,21500,23400,21500,221.10K,3.69%
10/25/2021,24000,22600,24800,22000,813.32K,6.67%
10/26/2021,24300,24000,24400,22600,324.46K,1.25%
10/27/2021,24300,24600,25600,24200,276.03K,0.00%
10/28/2021,24100,24500,24500,23700,280.22K,-0.82%
10/29/2021,23700,24300,24300,23300,319.10K,-1.66%
11/1/2021,26300,23700,26600,23700,693.73K,10.97%
11/2/2021,26200,26300,27000,25800,296.00K,-0.38%
11/3/2021,25900,26200,27000,25500,564.31K,-1.15%
11/4/2021,26400,25800,26600,25500,312.50K,1.93%
11/5/2021,26200,26500,26700,26000,259.35K,-0.76%
11/8/2021,27800,26300,28000,26000,459.70K,6.11%
11/9/2021,27400,27500,27500,27000,131.15K,-1.44%
11/10/2021,30700,27500,31300,27500,577.72K,12.04%
11/11/2021,30200,30600,30600,29500,316.31K,-1.63%
11/12/2021,30100,30000,30100,29200,162.35K,-0.33%
11/15/2021,29500,29700,29700,28600,220.71K,-1.99%
11/16/2021,30500,29200,31300,29200,419.51K,3.39%
