Date,Price,Open,High,Low,Vol.,Change %
5/24/2019,115000,115500,116200,114300,628.56K,-1.71%
5/27/2019,115000,114000,115900,114000,166.08K,0.00%
5/28/2019,114000,116000,116000,114000,503.27K,-0.87%
5/29/2019,115200,114900,115400,114000,357.95K,1.05%
5/30/2019,115000,115200,116200,115000,572.81K,-0.17%
5/31/2019,114600,115800,115800,114600,296.61K,-0.35%
6/3/2019,114500,114000,115500,113000,281.51K,-0.09%
6/4/2019,114600,113600,115400,113600,262.74K,0.09%
6/5/2019,115900,115000,115900,115000,244.40K,1.13%
6/6/2019,115900,115900,115900,114400,167.50K,0.00%
6/7/2019,117000,116600,117000,116100,286.94K,0.95%
6/10/2019,117600,117200,118700,117200,955.89K,0.51%
6/11/2019,117000,117600,117800,117000,308.91K,-0.51%
6/12/2019,116000,117000,117500,116000,258.35K,-0.85%
6/13/2019,115500,115200,115900,115200,267.94K,-0.43%
6/14/2019,115500,116000,116000,114300,350.18K,0.00%
6/17/2019,114500,115900,116500,113800,415.39K,-0.87%
6/18/2019,114000,114700,115000,113800,433.86K,-0.44%
6/19/2019,115900,114700,115900,114500,135.22K,1.67%
6/20/2019,116000,116200,117100,115600,317.48K,0.09%
6/21/2019,114500,116500,116800,114500,594.21K,-1.29%
6/24/2019,116400,115000,116600,115000,228.39K,1.66%
6/25/2019,116400,116500,117200,116300,510.70K,0.00%
6/26/2019,116900,116300,117000,116000,515.02K,0.43%
6/27/2019,114900,117000,117000,114900,398.28K,-1.71%
6/28/2019,115700,115000,115900,113700,468.59K,0.70%
7/1/2019,117200,116700,117200,116100,562.11K,1.30%
7/2/2019,115800,117100,117300,115800,268.15K,-1.19%
7/3/2019,115400,115500,116000,114300,260.17K,-0.35%
7/4/2019,116500,115000,116500,115000,265.26K,0.95%
7/5/2019,116700,116000,116800,115800,307.40K,0.17%
7/8/2019,116000,116500,116700,115800,285.84K,-0.60%
7/9/2019,116000,116000,116100,115200,187.33K,0.00%
7/10/2019,116800,117000,117500,116500,377.06K,0.69%
7/11/2019,116500,117300,117500,115600,363.38K,-0.26%
7/12/2019,116000,116900,117000,116000,169.92K,-0.43%
7/15/2019,114200,116000,116200,113800,514.90K,-1.55%
7/16/2019,115900,115000,116500,114200,473.36K,1.49%
7/17/2019,115500,116000,116300,115000,213.64K,-0.35%
7/18/2019,114800,115000,115900,114800,454.56K,-0.61%
7/19/2019,116000,114800,116000,114800,476.26K,1.05%
7/22/2019,103556,103111,103556,102222,445.39K,-10.73%
7/23/2019,106489,103556,106933,103556,1.69M,2.83%
7/24/2019,108445,107111,108622,106845,744.60K,1.84%
7/25/2019,109511,107200,111200,107200,833.00K,0.98%
7/26/2019,108533,109067,109600,108089,468.63K,-0.89%
7/29/2019,110578,109333,110578,108533,637.73K,1.88%
7/30/2019,108889,110578,111111,108445,412.50K,-1.53%
7/31/2019,108445,108889,109511,106845,457.30K,-0.41%
8/1/2019,110578,109333,110667,108889,411.58K,1.97%
8/2/2019,108889,108445,109422,108356,543.51K,-1.53%
8/5/2019,104889,108533,108533,104889,855.02K,-3.67%
8/6/2019,106489,103111,106489,102667,496.79K,1.53%
8/7/2019,104889,106489,106845,104533,389.19K,-1.50%
8/8/2019,108445,104889,108889,104889,613.32K,3.39%
8/9/2019,106845,108445,108889,106845,451.11K,-1.48%
8/12/2019,106667,106845,107733,106667,120.89K,-0.17%
8/13/2019,104978,106578,106667,104889,349.12K,-1.58%
8/14/2019,105422,106222,106667,105067,340.22K,0.42%
8/15/2019,107556,104000,107556,104000,368.01K,2.02%
8/16/2019,108445,106311,108711,106311,390.80K,0.83%
8/19/2019,108356,108889,108889,108000,238.44K,-0.08%
8/20/2019,107556,108356,108889,107556,232.36K,-0.74%
8/21/2019,108800,107556,108889,107556,284.42K,1.16%
8/22/2019,112089,109333,112445,109067,755.97K,3.02%
8/23/2019,111111,112089,112089,110756,577.41K,-0.87%
8/26/2019,110933,111111,111111,109689,400.42K,-0.16%
8/27/2019,108889,111022,111733,108889,446.92K,-1.84%
8/28/2019,108445,108622,109778,108356,273.07K,-0.41%
8/29/2019,108889,109778,109778,107645,394.27K,0.41%
8/30/2019,109778,108889,110133,108445,248.30K,0.82%
